ratio; opt_2; err_2; ratio; generations_2; err_2; ratio; opt_4; err_4; ratio; generations_4; err_4; ratio; opt_8; err_8; ratio; generations_8; err_8; ratio; opt_16; err_16; ratio; generations_16; err_16; ratio; opt_32; err_32; ratio; generations_32; err_32; 
0,000; 0,028; 0,021; 0,000; 2473,050; 859,979; 0,000; 0,304; 0,170; 0,000; 3000,000; 0,000; 0,000; 0,806; 0,182; 0,000; 3000,000; 0,000; 0,000; 0,951; 0,065; 0,000; 3000,000; 0,000; 0,000; 1,009; 0,005; 0,000; 3000,000; 0,000; 
0,050; 0,026; 0,021; 0,050; 2608,800; 645,195; 0,050; 0,317; 0,167; 0,050; 3000,000; 0,000; 0,050; 0,734; 0,173; 0,050; 3000,000; 0,000; 0,050; 0,978; 0,030; 0,050; 3000,000; 0,000; 0,050; 1,009; 0,003; 0,050; 3000,000; 0,000; 
0,100; 0,025; 0,033; 0,100; 2364,050; 921,938; 0,100; 0,296; 0,166; 0,100; 3000,000; 0,000; 0,100; 0,777; 0,138; 0,100; 3000,000; 0,000; 0,100; 0,953; 0,066; 0,100; 3000,000; 0,000; 0,100; 1,009; 0,003; 0,100; 3000,000; 0,000; 
0,150; 0,017; 0,022; 0,150; 2183,300; 905,268; 0,150; 0,265; 0,170; 0,150; 3000,000; 0,000; 0,150; 0,808; 0,154; 0,150; 3000,000; 0,000; 0,150; 0,965; 0,040; 0,150; 3000,000; 0,000; 0,150; 1,006; 0,016; 0,150; 3000,000; 0,000; 
0,200; 0,019; 0,034; 0,200; 2257,350; 909,954; 0,200; 0,283; 0,176; 0,200; 3000,000; 0,000; 0,200; 0,812; 0,139; 0,200; 3000,000; 0,000; 0,200; 0,949; 0,062; 0,200; 3000,000; 0,000; 0,200; 1,010; 0,003; 0,200; 3000,000; 0,000; 
0,250; 0,028; 0,032; 0,250; 2501,100; 740,975; 0,250; 0,187; 0,103; 0,250; 3000,000; 0,000; 0,250; 0,767; 0,145; 0,250; 3000,000; 0,000; 0,250; 0,939; 0,078; 0,250; 3000,000; 0,000; 0,250; 1,007; 0,014; 0,250; 3000,000; 0,000; 
0,300; 0,019; 0,021; 0,300; 2048,500; 1005,803; 0,300; 0,217; 0,143; 0,300; 3000,000; 0,000; 0,300; 0,703; 0,130; 0,300; 3000,000; 0,000; 0,300; 0,968; 0,042; 0,300; 3000,000; 0,000; 0,300; 1,010; 0,002; 0,300; 3000,000; 0,000; 
0,350; 0,032; 0,034; 0,350; 2686,950; 606,037; 0,350; 0,293; 0,169; 0,350; 3000,000; 0,000; 0,350; 0,725; 0,164; 0,350; 3000,000; 0,000; 0,350; 0,963; 0,046; 0,350; 3000,000; 0,000; 0,350; 1,009; 0,003; 0,350; 3000,000; 0,000; 
0,400; 0,021; 0,022; 0,400; 2520,650; 794,653; 0,400; 0,210; 0,152; 0,400; 3000,000; 0,000; 0,400; 0,788; 0,115; 0,400; 3000,000; 0,000; 0,400; 0,973; 0,039; 0,400; 3000,000; 0,000; 0,400; 1,007; 0,006; 0,400; 3000,000; 0,000; 
0,450; 0,018; 0,020; 0,450; 2515,550; 641,558; 0,450; 0,305; 0,192; 0,450; 3000,000; 0,000; 0,450; 0,759; 0,149; 0,450; 3000,000; 0,000; 0,450; 0,959; 0,054; 0,450; 3000,000; 0,000; 0,450; 1,008; 0,004; 0,450; 3000,000; 0,000; 
0,500; 0,025; 0,028; 0,500; 2298,250; 921,535; 0,500; 0,279; 0,173; 0,500; 3000,000; 0,000; 0,500; 0,748; 0,151; 0,500; 3000,000; 0,000; 0,500; 0,935; 0,063; 0,500; 3000,000; 0,000; 0,500; 1,010; 0,003; 0,500; 3000,000; 0,000; 
0,550; 0,014; 0,019; 0,550; 2192,750; 815,186; 0,550; 0,305; 0,227; 0,550; 3000,000; 0,000; 0,550; 0,675; 0,197; 0,550; 3000,000; 0,000; 0,550; 0,973; 0,035; 0,550; 3000,000; 0,000; 0,550; 1,010; 0,003; 0,550; 3000,000; 0,000; 
0,600; 0,020; 0,021; 0,600; 2161,400; 856,717; 0,600; 0,268; 0,147; 0,600; 3000,000; 0,000; 0,600; 0,740; 0,150; 0,600; 3000,000; 0,000; 0,600; 0,941; 0,053; 0,600; 3000,000; 0,000; 0,600; 1,006; 0,009; 0,600; 3000,000; 0,000; 
0,650; 0,020; 0,020; 0,650; 2397,100; 816,777; 0,650; 0,292; 0,191; 0,650; 3000,000; 0,000; 0,650; 0,751; 0,160; 0,650; 3000,000; 0,000; 0,650; 0,936; 0,120; 0,650; 3000,000; 0,000; 0,650; 1,007; 0,008; 0,650; 3000,000; 0,000; 
0,700; 0,027; 0,033; 0,700; 2377,900; 871,737; 0,700; 0,263; 0,214; 0,700; 3000,000; 0,000; 0,700; 0,712; 0,153; 0,700; 3000,000; 0,000; 0,700; 0,965; 0,044; 0,700; 3000,000; 0,000; 0,700; 1,008; 0,007; 0,700; 3000,000; 0,000; 
0,750; 0,022; 0,021; 0,750; 2303,000; 1028,715; 0,750; 0,299; 0,181; 0,750; 3000,000; 0,000; 0,750; 0,749; 0,145; 0,750; 3000,000; 0,000; 0,750; 0,939; 0,072; 0,750; 3000,000; 0,000; 0,750; 1,007; 0,008; 0,750; 3000,000; 0,000; 
0,800; 0,022; 0,021; 0,800; 2347,700; 930,526; 0,800; 0,225; 0,136; 0,800; 3000,000; 0,000; 0,800; 0,742; 0,152; 0,800; 3000,000; 0,000; 0,800; 0,960; 0,043; 0,800; 3000,000; 0,000; 0,800; 1,009; 0,004; 0,800; 3000,000; 0,000; 
0,850; 0,030; 0,052; 0,850; 1876,700; 1021,309; 0,850; 0,337; 0,180; 0,850; 3000,000; 0,000; 0,850; 0,700; 0,149; 0,850; 3000,000; 0,000; 0,850; 0,956; 0,069; 0,850; 3000,000; 0,000; 0,850; 1,007; 0,008; 0,850; 3000,000; 0,000; 
0,900; 0,019; 0,020; 0,900; 2418,400; 855,241; 0,900; 0,267; 0,183; 0,900; 3000,000; 0,000; 0,900; 0,767; 0,137; 0,900; 3000,000; 0,000; 0,900; 0,954; 0,072; 0,900; 3000,000; 0,000; 0,900; 1,007; 0,006; 0,900; 3000,000; 0,000; 
0,950; 0,025; 0,023; 0,950; 2522,550; 610,446; 0,950; 0,305; 0,225; 0,950; 3000,000; 0,000; 0,950; 0,734; 0,191; 0,950; 3000,000; 0,000; 0,950; 0,968; 0,034; 0,950; 3000,000; 0,000; 0,950; 1,004; 0,011; 0,950; 3000,000; 0,000; 
1,000; 0,024; 0,021; 1,000; 2626,500; 774,919; 1,000; 0,283; 0,168; 1,000; 3000,000; 0,000; 1,000; 0,743; 0,111; 1,000; 3000,000; 0,000; 1,000; 0,962; 0,063; 1,000; 3000,000; 0,000; 1,000; 1,008; 0,006; 1,000; 3000,000; 0,000; 
