ratio; minimum_2; ratio; minimum_4; ratio; minimum_8; ratio; minimum_16; ratio; minimum_32; 
 0,000; 0,00000223; 0,000; 0,07636757; 0,000; 0,28883211; 0,000; 0,90609200; 0,000; 1,00562392;
 0,050; 0,00000094; 0,050; 0,12361956; 0,050; 0,60755926; 0,050; 0,88743827; 0,050; 1,00289288;
 0,100; 0,00000022; 0,100; 0,13614501; 0,100; 0,37192381; 0,100; 0,90268404; 0,100; 1,00273475;
 0,150; 0,00000161; 0,150; 0,05202672; 0,150; 0,36137680; 0,150; 0,84715777; 0,150; 1,00025754;
 0,200; 0,00000035; 0,200; 0,18074274; 0,200; 0,33803565; 0,200; 0,92239108; 0,200; 1,00140497;
 0,250; 0,00000048; 0,250; 0,09776369; 0,250; 0,38327529; 0,250; 0,85282346; 0,250; 0,98965919;
 0,300; 0,00000016; 0,300; 0,03629046; 0,300; 0,52605161; 0,300; 0,92659423; 0,300; 1,01103933;
 0,350; 0,00000029; 0,350; 0,10493285; 0,350; 0,53763704; 0,350; 0,80158060; 0,350; 0,98326202;
 0,400; 0,00000003; 0,400; 0,04955671; 0,400; 0,62999404; 0,400; 0,87897019; 0,400; 1,00745291;
 0,450; 0,00000372; 0,450; 0,08221192; 0,450; 0,44268878; 0,450; 0,92549799; 0,450; 1,00400302;
 0,500; 0,00000069; 0,500; 0,17044030; 0,500; 0,49036551; 0,500; 0,87779824; 0,500; 0,99898950;
 0,550; 0,00000426; 0,550; 0,10459221; 0,550; 0,54396803; 0,550; 0,88508170; 0,550; 1,00203682;
 0,600; 0,00000557; 0,600; 0,06090159; 0,600; 0,59183796; 0,600; 0,85891920; 0,600; 0,99760394;
 0,650; 0,00000035; 0,650; 0,08666032; 0,650; 0,28384051; 0,650; 0,78230552; 0,650; 0,99445556;
 0,700; 0,00000019; 0,700; 0,04188064; 0,700; 0,41621416; 0,700; 0,90884978; 0,700; 0,97246298;
 0,750; 0,00000213; 0,750; 0,12944186; 0,750; 0,53940778; 0,750; 0,85638614; 0,750; 1,00189034;
 0,800; 0,00000206; 0,800; 0,20017335; 0,800; 0,43217305; 0,800; 0,91052029; 0,800; 1,00633263;
 0,850; 0,00000087; 0,850; 0,09926505; 0,850; 0,51983568; 0,850; 0,90994982; 0,850; 0,99276166;
 0,900; 0,00000167; 0,900; 0,07523806; 0,900; 0,62366876; 0,900; 0,85191431; 0,900; 1,00133978;
 0,950; 0,00000058; 0,950; 0,05175074; 0,950; 0,45314714; 0,950; 0,84174618; 0,950; 0,96514804;
 1,000; 0,00000035; 1,000; 0,12629380; 1,000; 0,51890683; 1,000; 0,88472733; 1,000; 1,00194639;
