ratio; minimum_2; ratio; minimum_4; ratio; minimum_8; ratio; minimum_16; ratio; minimum_32; 
 0,000; 0,00000177; 0,000; 0,08837672; 0,000; 0,39144393; 0,000; 0,81111923; 0,000; 0,98685444;
 0,050; 0,00000675; 0,050; 0,06822019; 0,050; 0,41085632; 0,050; 0,75967026; 0,050; 0,99716317;
 0,100; 0,00000009; 0,100; 0,07125027; 0,100; 0,32272335; 0,100; 0,87981184; 0,100; 1,00150580;
 0,150; 0,00000441; 0,150; 0,12374712; 0,150; 0,47920032; 0,150; 0,89284610; 0,150; 1,00517718;
 0,200; 0,00000195; 0,200; 0,05593686; 0,200; 0,34842169; 0,200; 0,86513030; 0,200; 1,00018224;
 0,250; 0,00000272; 0,250; 0,06240604; 0,250; 0,45855056; 0,250; 0,84046403; 0,250; 0,99805056;
 0,300; 0,00000052; 0,300; 0,04117258; 0,300; 0,38961768; 0,300; 0,81448778; 0,300; 0,99117441;
 0,350; 0,00000463; 0,350; 0,09536875; 0,350; 0,31936646; 0,350; 0,82746755; 0,350; 1,00155905;
 0,400; 0,00000175; 0,400; 0,06457748; 0,400; 0,33179900; 0,400; 0,91369590; 0,400; 0,99542905;
 0,450; 0,00000243; 0,450; 0,07066656; 0,450; 0,40662257; 0,450; 0,87017724; 0,450; 0,99749408;
 0,500; 0,00000072; 0,500; 0,11295504; 0,500; 0,42246019; 0,500; 0,87706996; 0,500; 0,98798312;
 0,550; 0,00000014; 0,550; 0,10125389; 0,550; 0,54980320; 0,550; 0,81793348; 0,550; 0,98883353;
 0,600; 0,00000116; 0,600; 0,07009689; 0,600; 0,43972567; 0,600; 0,82018135; 0,600; 0,99204656;
 0,650; 0,00000342; 0,650; 0,04993969; 0,650; 0,31639221; 0,650; 0,85737004; 0,650; 1,00421654;
 0,700; 0,00000105; 0,700; 0,09701956; 0,700; 0,38543529; 0,700; 0,79121580; 0,700; 0,96875489;
 0,750; 0,00000007; 0,750; 0,06615478; 0,750; 0,49217224; 0,750; 0,75720057; 0,750; 0,97174861;
 0,800; 0,00000041; 0,800; 0,08576139; 0,800; 0,38002665; 0,800; 0,87260289; 0,800; 0,98959710;
 0,850; 0,00000508; 0,850; 0,04447253; 0,850; 0,47084438; 0,850; 0,73500353; 0,850; 0,98348378;
 0,900; 0,00000090; 0,900; 0,07812367; 0,900; 0,38832561; 0,900; 0,88429443; 0,900; 1,00251149;
 0,950; 0,00000010; 0,950; 0,04607612; 0,950; 0,40842599; 0,950; 0,87351002; 0,950; 0,99727106;
 1,000; 0,00000032; 1,000; 0,03804188; 1,000; 0,33843590; 1,000; 0,83239921; 1,000; 1,00134202;
