ratio; opt_2; err_2; ratio; generations_2; err_2; ratio; opt_4; err_4; ratio; generations_4; err_4; ratio; opt_8; err_8; ratio; generations_8; err_8; ratio; opt_16; err_16; ratio; generations_16; err_16; ratio; opt_32; err_32; ratio; generations_32; err_32; 
0,000; 0,005; 0,022; 0,000; 1126,980; 753,194; 0,000; 0,467; 0,214; 0,000; 3000,000; 0,000; 0,000; 0,842; 0,102; 0,000; 3000,000; 0,000; 0,000; 0,993; 0,030; 0,000; 3000,000; 0,000; 0,000; 1,015; 0,002; 0,000; 3000,000; 0,000; 
0,050; 0,006; 0,025; 0,050; 1227,460; 921,339; 0,050; 0,465; 0,202; 0,050; 3000,000; 0,000; 0,050; 0,852; 0,122; 0,050; 3000,000; 0,000; 0,050; 0,996; 0,026; 0,050; 3000,000; 0,000; 0,050; 1,015; 0,003; 0,050; 3000,000; 0,000; 
0,100; 0,005; 0,023; 0,100; 1128,880; 831,132; 0,100; 0,454; 0,195; 0,100; 3000,000; 0,000; 0,100; 0,826; 0,149; 0,100; 3000,000; 0,000; 0,100; 0,985; 0,046; 0,100; 3000,000; 0,000; 0,100; 1,014; 0,004; 0,100; 3000,000; 0,000; 
0,150; 0,003; 0,013; 0,150; 1331,660; 840,075; 0,150; 0,469; 0,221; 0,150; 3000,000; 0,000; 0,150; 0,854; 0,120; 0,150; 3000,000; 0,000; 0,150; 0,981; 0,048; 0,150; 3000,000; 0,000; 0,150; 1,015; 0,003; 0,150; 3000,000; 0,000; 
0,200; 0,001; 0,007; 0,200; 1113,760; 825,900; 0,200; 0,419; 0,188; 0,200; 3000,000; 0,000; 0,200; 0,864; 0,117; 0,200; 3000,000; 0,000; 0,200; 0,986; 0,034; 0,200; 3000,000; 0,000; 0,200; 1,014; 0,003; 0,200; 3000,000; 0,000; 
0,250; 0,003; 0,010; 0,250; 1237,920; 843,219; 0,250; 0,479; 0,202; 0,250; 3000,000; 0,000; 0,250; 0,848; 0,129; 0,250; 3000,000; 0,000; 0,250; 0,995; 0,023; 0,250; 3000,000; 0,000; 0,250; 1,014; 0,003; 0,250; 3000,000; 0,000; 
0,300; 0,006; 0,027; 0,300; 1216,100; 855,770; 0,300; 0,499; 0,204; 0,300; 3000,000; 0,000; 0,300; 0,846; 0,108; 0,300; 3000,000; 0,000; 0,300; 0,984; 0,034; 0,300; 3000,000; 0,000; 0,300; 1,014; 0,003; 0,300; 3000,000; 0,000; 
0,350; 0,002; 0,015; 0,350; 943,740; 714,392; 0,350; 0,549; 0,213; 0,350; 3000,000; 0,000; 0,350; 0,864; 0,127; 0,350; 3000,000; 0,000; 0,350; 0,989; 0,038; 0,350; 3000,000; 0,000; 0,350; 1,014; 0,003; 0,350; 3000,000; 0,000; 
0,400; 0,012; 0,042; 0,400; 1426,600; 970,421; 0,400; 0,505; 0,203; 0,400; 3000,000; 0,000; 0,400; 0,876; 0,118; 0,400; 3000,000; 0,000; 0,400; 0,986; 0,039; 0,400; 3000,000; 0,000; 0,400; 1,014; 0,003; 0,400; 3000,000; 0,000; 
0,450; 0,010; 0,034; 0,450; 1188,940; 941,828; 0,450; 0,529; 0,190; 0,450; 3000,000; 0,000; 0,450; 0,850; 0,132; 0,450; 3000,000; 0,000; 0,450; 0,991; 0,035; 0,450; 3000,000; 0,000; 0,450; 1,014; 0,003; 0,450; 3000,000; 0,000; 
