ratio; opt_2; err_2; ratio; generations_2; err_2; ratio; opt_4; err_4; ratio; generations_4; err_4; ratio; opt_8; err_8; ratio; generations_8; err_8; ratio; opt_16; err_16; ratio; generations_16; err_16; ratio; opt_32; err_32; ratio; generations_32; err_32; 
0,000; 0,019; 0,046; 0,000; 1870,920; 922,725; 0,000; 0,407; 0,179; 0,000; 3000,000; 0,000; 0,000; 0,815; 0,134; 0,000; 3000,000; 0,000; 0,000; 0,979; 0,032; 0,000; 3000,000; 0,000; 0,000; 1,011; 0,003; 0,000; 3000,000; 0,000; 
0,050; 0,017; 0,037; 0,050; 1841,180; 899,334; 0,050; 0,416; 0,193; 0,050; 3000,000; 0,000; 0,050; 0,827; 0,136; 0,050; 3000,000; 0,000; 0,050; 0,968; 0,065; 0,050; 3000,000; 0,000; 0,050; 1,010; 0,007; 0,050; 3000,000; 0,000; 
0,100; 0,021; 0,062; 0,100; 1748,460; 988,235; 0,100; 0,392; 0,192; 0,100; 3000,000; 0,000; 0,100; 0,822; 0,145; 0,100; 3000,000; 0,000; 0,100; 0,976; 0,044; 0,100; 3000,000; 0,000; 0,100; 1,011; 0,004; 0,100; 3000,000; 0,000; 
0,150; 0,013; 0,025; 0,150; 1996,780; 857,681; 0,150; 0,414; 0,175; 0,150; 3000,000; 0,000; 0,150; 0,829; 0,150; 0,150; 3000,000; 0,000; 0,150; 0,974; 0,045; 0,150; 3000,000; 0,000; 0,150; 1,012; 0,003; 0,150; 3000,000; 0,000; 
0,200; 0,016; 0,033; 0,200; 1850,220; 1002,489; 0,200; 0,413; 0,220; 0,200; 3000,000; 0,000; 0,200; 0,806; 0,132; 0,200; 3000,000; 0,000; 0,200; 0,979; 0,032; 0,200; 3000,000; 0,000; 0,200; 1,012; 0,003; 0,200; 3000,000; 0,000; 
0,250; 0,019; 0,034; 0,250; 1752,500; 982,420; 0,250; 0,465; 0,209; 0,250; 3000,000; 0,000; 0,250; 0,806; 0,145; 0,250; 3000,000; 0,000; 0,250; 0,980; 0,045; 0,250; 3000,000; 0,000; 0,250; 1,012; 0,003; 0,250; 3000,000; 0,000; 
0,300; 0,003; 0,011; 0,300; 1684,800; 758,627; 0,300; 0,443; 0,202; 0,300; 3000,000; 0,000; 0,300; 0,829; 0,154; 0,300; 3000,000; 0,000; 0,300; 0,981; 0,042; 0,300; 3000,000; 0,000; 0,300; 1,011; 0,003; 0,300; 3000,000; 0,000; 
0,350; 0,024; 0,063; 0,350; 1877,420; 899,797; 0,350; 0,427; 0,198; 0,350; 3000,000; 0,000; 0,350; 0,809; 0,176; 0,350; 3000,000; 0,000; 0,350; 0,975; 0,045; 0,350; 3000,000; 0,000; 0,350; 1,011; 0,004; 0,350; 3000,000; 0,000; 
0,400; 0,004; 0,012; 0,400; 1636,000; 828,391; 0,400; 0,389; 0,177; 0,400; 3000,000; 0,000; 0,400; 0,774; 0,144; 0,400; 3000,000; 0,000; 0,400; 0,985; 0,029; 0,400; 3000,000; 0,000; 0,400; 1,011; 0,006; 0,400; 3000,000; 0,000; 
0,450; 0,011; 0,024; 0,450; 1881,440; 903,151; 0,450; 0,383; 0,195; 0,450; 3000,000; 0,000; 0,450; 0,797; 0,167; 0,450; 3000,000; 0,000; 0,450; 0,985; 0,036; 0,450; 3000,000; 0,000; 0,450; 1,011; 0,003; 0,450; 3000,000; 0,000; 
