ratio; opt_2; err_2; ratio; generations_2; err_2; ratio; opt_4; err_4; ratio; generations_4; err_4; ratio; opt_8; err_8; ratio; generations_8; err_8; ratio; opt_16; err_16; ratio; generations_16; err_16; ratio; opt_32; err_32; ratio; generations_32; err_32; 
0,000; 0,271; 0,238; 0,000; 2175,750; 1000,714; 0,000; 0,491; 0,233; 0,000; 3000,000; 0,000; 0,000; 0,486; 0,200; 0,000; 3000,000; 0,000; 0,000; 0,885; 0,106; 0,000; 3000,000; 0,000; 0,000; 0,999; 0,008; 0,000; 3000,000; 0,000; 
0,050; 0,498; 0,493; 0,050; 2135,450; 1071,306; 0,050; 0,328; 0,102; 0,050; 3000,000; 0,000; 0,050; 0,528; 0,309; 0,050; 3000,000; 0,000; 0,050; 0,887; 0,108; 0,050; 3000,000; 0,000; 0,050; 0,992; 0,013; 0,050; 3000,000; 0,000; 
0,100; 0,776; 0,890; 0,100; 2042,600; 1080,298; 0,100; 0,463; 0,271; 0,100; 3000,000; 0,000; 0,100; 0,499; 0,219; 0,100; 3000,000; 0,000; 0,100; 0,864; 0,085; 0,100; 3000,000; 0,000; 0,100; 0,989; 0,024; 0,100; 3000,000; 0,000; 
0,150; 0,413; 0,328; 0,150; 2293,350; 856,458; 0,150; 0,525; 0,266; 0,150; 3000,000; 0,000; 0,150; 0,520; 0,229; 0,150; 3000,000; 0,000; 0,150; 0,907; 0,095; 0,150; 3000,000; 0,000; 0,150; 0,993; 0,015; 0,150; 3000,000; 0,000; 
0,200; 0,499; 0,445; 0,200; 2118,050; 981,156; 0,200; 0,430; 0,177; 0,200; 3000,000; 0,000; 0,200; 0,489; 0,230; 0,200; 3000,000; 0,000; 0,200; 0,892; 0,117; 0,200; 3000,000; 0,000; 0,200; 0,993; 0,022; 0,200; 3000,000; 0,000; 
0,250; 0,433; 0,462; 0,250; 2164,900; 937,958; 0,250; 0,402; 0,254; 0,250; 3000,000; 0,000; 0,250; 0,590; 0,214; 0,250; 3000,000; 0,000; 0,250; 0,898; 0,072; 0,250; 3000,000; 0,000; 0,250; 0,991; 0,019; 0,250; 3000,000; 0,000; 
0,300; 0,555; 0,705; 0,300; 1658,950; 1114,404; 0,300; 0,469; 0,283; 0,300; 3000,000; 0,000; 0,300; 0,468; 0,171; 0,300; 3000,000; 0,000; 0,300; 0,919; 0,063; 0,300; 3000,000; 0,000; 0,300; 0,998; 0,013; 0,300; 3000,000; 0,000; 
0,350; 0,854; 0,895; 0,350; 1831,600; 1087,493; 0,350; 0,478; 0,227; 0,350; 3000,000; 0,000; 0,350; 0,538; 0,252; 0,350; 3000,000; 0,000; 0,350; 0,886; 0,110; 0,350; 3000,000; 0,000; 0,350; 0,989; 0,036; 0,350; 3000,000; 0,000; 
0,400; 0,506; 0,401; 0,400; 2133,700; 975,107; 0,400; 0,397; 0,222; 0,400; 3000,000; 0,000; 0,400; 0,519; 0,245; 0,400; 3000,000; 0,000; 0,400; 0,908; 0,093; 0,400; 3000,000; 0,000; 0,400; 0,997; 0,025; 0,400; 3000,000; 0,000; 
0,450; 0,457; 0,356; 0,450; 1920,500; 1184,882; 0,450; 0,506; 0,272; 0,450; 3000,000; 0,000; 0,450; 0,448; 0,198; 0,450; 3000,000; 0,000; 0,450; 0,926; 0,070; 0,450; 3000,000; 0,000; 0,450; 1,004; 0,006; 0,450; 3000,000; 0,000; 
0,500; 0,644; 0,824; 0,500; 1961,800; 1198,722; 0,500; 0,412; 0,228; 0,500; 3000,000; 0,000; 0,500; 0,533; 0,202; 0,500; 3000,000; 0,000; 0,500; 0,858; 0,127; 0,500; 3000,000; 0,000; 0,500; 0,994; 0,023; 0,500; 3000,000; 0,000; 
