ratio; opt_2; err_2; ratio; generations_2; err_2; ratio; opt_16; err_16; ratio; generations_16; err_16; 
0,000; 0,000; 0,000; 0,000; 1143,500; 504,718; 0,000; 0,998; 0,015; 0,000; 3000,000; 0,000; 
0,100; 0,000; 0,000; 0,100; 727,000; 292,531; 0,100; 0,981; 0,035; 0,100; 3000,000; 0,000; 
0,200; 0,000; 0,000; 0,200; 937,500; 772,200; 0,200; 0,977; 0,040; 0,200; 3000,000; 0,000; 
0,300; 0,000; 0,000; 0,300; 1439,100; 654,784; 0,300; 0,976; 0,042; 0,300; 3000,000; 0,000; 
0,400; 0,007; 0,021; 0,400; 1438,100; 1173,196; 0,400; 0,991; 0,014; 0,400; 3000,000; 0,000; 
0,500; 0,000; 0,000; 0,500; 1484,800; 629,705; 0,500; 0,985; 0,042; 0,500; 3000,000; 0,000; 
0,600; 0,000; 0,000; 0,600; 1288,900; 843,118; 0,600; 0,966; 0,130; 0,600; 3000,000; 0,000; 
0,700; 0,000; 0,000; 0,700; 1190,600; 890,687; 0,700; 0,992; 0,026; 0,700; 3000,000; 0,000; 
0,800; 0,000; 0,000; 0,800; 1025,600; 482,850; 0,800; 0,990; 0,021; 0,800; 3000,000; 0,000; 
0,900; 0,000; 0,000; 0,900; 990,800; 831,511; 0,900; 0,987; 0,040; 0,900; 3000,000; 0,000; 
1,000; 0,000; 0,000; 1,000; 1032,400; 807,677; 1,000; 0,995; 0,017; 1,000; 3000,000; 0,000; 
