ratio; opt_2; err_2; ratio; generations_2; err_2; ratio; opt_16; err_16; ratio; generations_16; err_16; 
0,000; 0,065; 0,058; 0,000; 2576,000; 895,811; 0,000; 0,851; 0,145; 0,000; 3000,000; 0,000; 
0,100; 0,096; 0,164; 0,100; 2065,000; 1289,029; 0,100; 0,800; 0,146; 0,100; 3000,000; 0,000; 
0,200; 0,042; 0,023; 0,200; 2957,500; 134,397; 0,200; 0,693; 0,170; 0,200; 3000,000; 0,000; 
0,300; 0,113; 0,136; 0,300; 2633,400; 825,889; 0,300; 0,807; 0,145; 0,300; 3000,000; 0,000; 
0,400; 0,053; 0,038; 0,400; 2470,100; 868,178; 0,400; 0,798; 0,152; 0,400; 3000,000; 0,000; 
0,500; 0,197; 0,503; 0,500; 2545,300; 871,787; 0,500; 0,808; 0,138; 0,500; 3000,000; 0,000; 
0,600; 0,059; 0,044; 0,600; 3000,000; 0,000; 0,600; 0,810; 0,125; 0,600; 3000,000; 0,000; 
0,700; 0,057; 0,057; 0,700; 2184,500; 1067,493; 0,700; 0,786; 0,139; 0,700; 3000,000; 0,000; 
0,800; 0,041; 0,037; 0,800; 2478,900; 702,164; 0,800; 0,939; 0,062; 0,800; 3000,000; 0,000; 
0,900; 0,037; 0,043; 0,900; 2503,500; 844,841; 0,900; 0,834; 0,193; 0,900; 3000,000; 0,000; 
1,000; 0,086; 0,051; 1,000; 2728,100; 859,823; 1,000; 0,801; 0,137; 1,000; 3000,000; 0,000; 
