ratio; opt_2; err_2; ratio; generations_2; err_2; ratio; opt_16; err_16; ratio; generations_16; err_16; 
0,000; 0,008; 0,025; 0,000; 1797,600; 970,031; 0,000; 0,987; 0,025; 0,000; 3000,000; 0,000; 
0,100; 0,028; 0,062; 0,100; 1905,300; 901,252; 0,100; 0,974; 0,047; 0,100; 3000,000; 0,000; 
0,200; 0,004; 0,012; 0,200; 1875,300; 715,448; 0,200; 0,963; 0,076; 0,200; 3000,000; 0,000; 
0,300; 0,004; 0,013; 0,300; 1574,100; 814,752; 0,300; 0,983; 0,031; 0,300; 3000,000; 0,000; 
0,400; 0,032; 0,045; 0,400; 2031,300; 1020,922; 0,400; 0,985; 0,034; 0,400; 3000,000; 0,000; 
0,500; 0,000; 0,000; 0,500; 1267,900; 637,156; 0,500; 0,979; 0,028; 0,500; 3000,000; 0,000; 
0,600; 0,027; 0,044; 0,600; 2232,500; 796,595; 0,600; 0,992; 0,014; 0,600; 3000,000; 0,000; 
0,700; 0,010; 0,020; 0,700; 2049,800; 781,135; 0,700; 0,980; 0,046; 0,700; 3000,000; 0,000; 
0,800; 0,009; 0,019; 0,800; 1733,700; 1049,777; 0,800; 0,976; 0,028; 0,800; 3000,000; 0,000; 
0,900; 0,004; 0,013; 0,900; 1482,100; 641,820; 0,900; 0,995; 0,021; 0,900; 3000,000; 0,000; 
1,000; 0,009; 0,020; 1,000; 1887,800; 802,254; 1,000; 0,989; 0,032; 1,000; 3000,000; 0,000; 
