ratio; average_2; err_2; optimum_2; ratio; average_4; err_4; optimum_4; ratio; average_8; err_8; optimum_8; ratio; average_16; err_16; optimum_16; ratio; average_32; err_32; optimum_32; 
0,000; 0,00214867; 0,008686; 0,00000075; 0,000; 0,24780162; 0,137043; 0,05605662; 0,000; 0,71736465; 0,123467; 0,49079565; 0,000; 0,96732481; 0,041093; 0,87196474; 0,000; 1,00726787; 0,005952; 0,98534962; 
0,050; 0,00109990; 0,006222; 0,00000233; 0,050; 0,24517313; 0,144958; 0,08433677; 0,050; 0,74795907; 0,129077; 0,46749921; 0,050; 0,95838408; 0,045164; 0,83688365; 0,050; 1,00570676; 0,010929; 0,96126633; 
0,100; 0,00215945; 0,008703; 0,00000317; 0,100; 0,26090575; 0,153996; 0,06678206; 0,100; 0,75589496; 0,155121; 0,41036812; 0,100; 0,95898588; 0,047151; 0,79579826; 0,100; 1,00821908; 0,004631; 0,99161156; 
0,150; 0,00216275; 0,008740; 0,00000163; 0,150; 0,27251769; 0,172618; 0,03215080; 0,150; 0,71282473; 0,122368; 0,45763120; 0,150; 0,97129016; 0,029873; 0,89693266; 0,150; 1,00730700; 0,006303; 0,98829143; 
0,200; 0,00221120; 0,008950; 0,00000021; 0,200; 0,24572991; 0,124439; 0,05316632; 0,200; 0,75853945; 0,148060; 0,44428340; 0,200; 0,96118824; 0,043539; 0,84988740; 0,200; 1,00857082; 0,004019; 0,99765573; 
0,250; 0,00214726; 0,008671; 0,00000014; 0,250; 0,24509879; 0,137089; 0,03969146; 0,250; 0,76617474; 0,147131; 0,35212137; 0,250; 0,95781372; 0,050044; 0,83575952; 0,250; 1,00521731; 0,011393; 0,96258660; 
0,300; 0,00215323; 0,008668; 0,00000001; 0,300; 0,26835440; 0,153669; 0,02161589; 0,300; 0,69888817; 0,159673; 0,28989195; 0,300; 0,94146123; 0,072015; 0,71389763; 0,300; 1,00501331; 0,011374; 0,95214331; 
0,350; 0,00319400; 0,010475; 0,00000004; 0,350; 0,30002520; 0,169969; 0,03290898; 0,350; 0,73987886; 0,164192; 0,38755052; 0,350; 0,96012532; 0,034763; 0,85207708; 0,350; 1,00561062; 0,012484; 0,94084173; 
0,400; 0,00530558; 0,013079; 0,00000425; 0,400; 0,25761816; 0,166510; 0,04075645; 0,400; 0,73174539; 0,148858; 0,42899617; 0,400; 0,96161543; 0,055463; 0,75547912; 0,400; 1,00894031; 0,006582; 0,97526228; 
0,450; 0,00109899; 0,006223; 0,00000557; 0,450; 0,29141044; 0,199198; 0,02706666; 0,450; 0,74337543; 0,132732; 0,42167558; 0,450; 0,95817736; 0,052821; 0,75834704; 0,450; 1,00870382; 0,003508; 0,99718206; 
0,500; 0,00214993; 0,008672; 0,00000021; 0,500; 0,24999371; 0,148919; 0,03182591; 0,500; 0,70602566; 0,170295; 0,23763615; 0,500; 0,94510920; 0,050765; 0,81553739; 0,500; 1,00835242; 0,009543; 0,95841535; 
0,550; 0,00115699; 0,006365; 0,00000124; 0,550; 0,31807804; 0,189284; 0,02893862; 0,550; 0,75715845; 0,140742; 0,32436668; 0,550; 0,96604292; 0,047796; 0,79084956; 0,550; 1,00718312; 0,006045; 0,99357050; 
0,600; 0,00355474; 0,011761; 0,00000039; 0,600; 0,26056604; 0,160466; 0,07607233; 0,600; 0,72727592; 0,168467; 0,20723124; 0,600; 0,96505095; 0,056353; 0,77975496; 0,600; 1,00820419; 0,004604; 0,99739931; 
0,650; 0,00108870; 0,006224; 0,00000032; 0,650; 0,26094953; 0,159491; 0,07351122; 0,650; 0,70242479; 0,182748; 0,19824538; 0,650; 0,96842750; 0,034654; 0,87859196; 0,650; 1,00784432; 0,007967; 0,96872131; 
0,700; 0,00109101; 0,006224; 0,00000082; 0,700; 0,22930400; 0,142589; 0,03470811; 0,700; 0,75981824; 0,124152; 0,48821460; 0,700; 0,96248075; 0,039520; 0,83179641; 0,700; 1,00597094; 0,009930; 0,96774834; 
0,750; 0,00004156; 0,000032; 0,00000001; 0,750; 0,30502327; 0,151885; 0,10432003; 0,750; 0,75071093; 0,135562; 0,36314281; 0,750; 0,94654550; 0,070510; 0,71901067; 0,750; 1,00693737; 0,008995; 0,96047145; 
0,800; 0,00109482; 0,006224; 0,00000375; 0,800; 0,28278895; 0,172578; 0,04103526; 0,800; 0,71310777; 0,148854; 0,37849161; 0,800; 0,96645009; 0,041262; 0,82373760; 0,800; 1,00854914; 0,004275; 0,99446294; 
0,850; 0,00111070; 0,006281; 0,00000169; 0,850; 0,27030402; 0,193919; 0,02735854; 0,850; 0,73638832; 0,165126; 0,39589585; 0,850; 0,95322517; 0,045444; 0,80065907; 0,850; 1,00682520; 0,005846; 0,98809335; 
0,900; 0,00109620; 0,006223; 0,00000073; 0,900; 0,28934839; 0,153669; 0,07859556; 0,900; 0,75325389; 0,137258; 0,32330138; 0,900; 0,95326363; 0,058609; 0,70434920; 0,900; 1,00696420; 0,011123; 0,94746351; 
0,950; 0,00291103; 0,009599; 0,00000003; 0,950; 0,29362347; 0,149765; 0,07955870; 0,950; 0,72764544; 0,132238; 0,36027348; 0,950; 0,95095733; 0,067373; 0,73405856; 0,950; 1,00830298; 0,005065; 0,98988285; 
1,000; 0,00111287; 0,006300; 0,00000429; 1,000; 0,23123614; 0,118883; 0,05955608; 1,000; 0,75824377; 0,122182; 0,41379597; 1,000; 0,94520447; 0,058911; 0,75301921; 1,000; 1,00789340; 0,005519; 0,98187438; 
