ratio; average_2; err_2; optimum_2; ratio; average_4; err_4; optimum_4; ratio; average_8; err_8; optimum_8; ratio; average_16; err_16; optimum_16; ratio; average_32; err_32; optimum_32; 
0,000; 0,00937564; 0,016498; 0,00000320; 0,000; 0,70027902; 0,329100; 0,16632767; 0,000; 1,60591546; 0,875651; 0,11571897; 0,000; 0,30031917; 0,136059; 0,10108362; 0,000; 0,75887125; 0,100472; 0,57522311; 
0,050; 0,01476663; 0,018300; 0,00000036; 0,050; 0,59291980; 0,223237; 0,07382233; 0,050; 1,85486313; 0,949444; 0,47432193; 0,050; 0,28343700; 0,087570; 0,15829840; 0,050; 0,72280874; 0,111637; 0,50403045; 
0,100; 0,01581788; 0,018487; 0,00000292; 0,100; 0,57370697; 0,269818; 0,12312609; 0,100; 1,86015259; 0,897398; 0,29339953; 0,100; 0,28527081; 0,097246; 0,11690920; 0,100; 0,70503157; 0,091247; 0,49510781; 
0,150; 0,01371847; 0,018047; 0,00000140; 0,150; 0,71551682; 0,269085; 0,20288798; 0,150; 1,92087069; 0,897446; 0,43531450; 0,150; 0,28539445; 0,102607; 0,11256678; 0,150; 0,75871819; 0,087503; 0,58410558; 
0,200; 0,01056700; 0,016870; 0,00000118; 0,200; 0,57838766; 0,226414; 0,26802139; 0,200; 1,96111362; 0,887297; 0,23783934; 0,200; 0,29171796; 0,108272; 0,12429533; 0,200; 0,72007380; 0,106317; 0,45859511; 
0,250; 0,01160317; 0,017347; 0,00000016; 0,250; 0,63880282; 0,217108; 0,31958617; 0,250; 1,93222305; 0,871196; 0,31065588; 0,250; 0,28394620; 0,088852; 0,12252244; 0,250; 0,75547073; 0,109754; 0,54751762; 
0,300; 0,01090264; 0,017564; 0,00000015; 0,300; 0,67552786; 0,257237; 0,17140025; 0,300; 1,76139582; 0,972493; 0,11246246; 0,300; 0,27484424; 0,080261; 0,13533543; 0,300; 0,74990304; 0,081511; 0,50538207; 
0,350; 0,01687307; 0,018607; 0,00000236; 0,350; 0,60221755; 0,201006; 0,13543810; 0,350; 2,06968834; 0,849655; 0,41319625; 0,350; 0,27123161; 0,137188; 0,09213479; 0,350; 0,74783412; 0,097744; 0,51825491; 
0,400; 0,02318341; 0,018048; 0,00000522; 0,400; 0,62392786; 0,278985; 0,15372187; 0,400; 1,78580010; 0,852117; 0,24903543; 0,400; 0,25200391; 0,066948; 0,12025119; 0,400; 0,70585716; 0,108811; 0,39691923; 
0,450; 0,01056158; 0,016874; 0,00000427; 0,450; 0,61253599; 0,233291; 0,07999877; 0,450; 2,07014840; 0,980266; 0,44468503; 0,450; 0,26928981; 0,094400; 0,13853175; 0,450; 0,75226819; 0,106940; 0,49871351; 
0,500; 0,00845716; 0,015685; 0,00000225; 0,500; 0,60374378; 0,219918; 0,12936013; 0,500; 2,04730248; 0,920584; 0,47779629; 0,500; 0,27179729; 0,087718; 0,10366798; 0,500; 0,73731244; 0,099050; 0,52726588; 
0,550; 0,01275089; 0,017674; 0,00000009; 0,550; 0,54901797; 0,290789; 0,09857651; 0,550; 1,91725722; 0,893072; 0,63714623; 0,550; 0,26639698; 0,102917; 0,09328662; 0,550; 0,73908866; 0,117196; 0,49550731; 
0,600; 0,01307847; 0,017600; 0,00000228; 0,600; 0,61179920; 0,314660; 0,11075306; 0,600; 1,62688310; 0,858960; 0,39209059; 0,600; 0,26832368; 0,092999; 0,14768222; 0,600; 0,75011080; 0,102986; 0,51037334; 
0,650; 0,01476163; 0,018305; 0,00000047; 0,650; 0,64528866; 0,301281; 0,15995227; 0,650; 2,16006388; 0,801469; 0,45372984; 0,650; 0,25039689; 0,084312; 0,11845453; 0,650; 0,75101631; 0,113575; 0,45000577; 
0,700; 0,01339895; 0,017727; 0,00000004; 0,700; 0,68792321; 0,303115; 0,13526087; 0,700; 1,84658337; 0,798955; 0,23206906; 0,700; 0,32045931; 0,119724; 0,16685399; 0,700; 0,74394468; 0,099719; 0,54765180; 
0,750; 0,01686656; 0,018613; 0,00000160; 0,750; 0,66487105; 0,219778; 0,26628993; 0,750; 1,75171024; 0,790498; 0,40498985; 0,750; 0,28958061; 0,103031; 0,15557162; 0,750; 0,74973267; 0,095925; 0,51065631; 
0,800; 0,00995324; 0,016269; 0,00000004; 0,800; 0,62280864; 0,246969; 0,22754940; 0,800; 1,88433373; 0,980289; 0,27118580; 0,800; 0,30741228; 0,149479; 0,11652151; 0,800; 0,75415710; 0,088695; 0,53783989; 
0,850; 0,01686984; 0,018610; 0,00000007; 0,850; 0,63257830; 0,232838; 0,15368573; 0,850; 1,81711660; 0,917247; 0,38928806; 0,850; 0,28763405; 0,114654; 0,10036994; 0,850; 0,74525139; 0,110103; 0,40415057; 
0,900; 0,00740542; 0,014941; 0,00000006; 0,900; 0,62222895; 0,327266; 0,12896706; 0,900; 1,60611258; 0,728120; 0,41915690; 0,900; 0,30445154; 0,119322; 0,11353027; 0,900; 0,71957057; 0,095221; 0,49276277; 
0,950; 0,01581911; 0,018486; 0,00000151; 0,950; 0,59705477; 0,263696; 0,24007674; 0,950; 2,11450231; 0,795176; 0,53495365; 0,950; 0,29245468; 0,165752; 0,11228180; 0,950; 0,75938605; 0,085343; 0,53712790; 
1,000; 0,01581813; 0,018487; 0,00000222; 1,000; 0,65616176; 0,230588; 0,26487414; 1,000; 1,96612268; 0,734197; 0,62459789; 1,000; 0,27548364; 0,077978; 0,15524228; 1,000; 0,74149912; 0,110571; 0,45340853; 
