ratio; average_2; err_2; optimum_2; ratio; average_4; err_4; optimum_4; ratio; average_8; err_8; optimum_8; ratio; average_16; err_16; optimum_16; ratio; average_32; err_32; optimum_32; 
0,000; 0,00398511; 0,011222; 0,00000011; 0,000; 0,13799947; 0,101474; 0,02432339; 0,000; 0,65617703; 0,194948; 0,26369358; 0,000; 0,93984482; 0,061629; 0,70319385; 0,000; 1,00295613; 0,008975; 0,97131869; 
0,050; 0,00215458; 0,008668; 0,00000102; 0,050; 0,11360935; 0,097000; 0,01989135; 0,050; 0,63663186; 0,191126; 0,20460932; 0,050; 0,93872184; 0,073249; 0,77258647; 0,050; 1,00521328; 0,006932; 0,97369022; 
0,100; 0,00214772; 0,008670; 0,00000325; 0,100; 0,10565533; 0,086534; 0,03425743; 0,100; 0,64363746; 0,172390; 0,26454126; 0,100; 0,92090930; 0,079348; 0,71569013; 0,100; 1,00531652; 0,007076; 0,97887059; 
0,150; 0,00557096; 0,013015; 0,00000076; 0,150; 0,13513749; 0,082779; 0,02776677; 0,150; 0,65673682; 0,200145; 0,22705267; 0,150; 0,94512534; 0,047924; 0,81388651; 0,150; 1,00123500; 0,013239; 0,95125418; 
0,200; 0,00793139; 0,015730; 0,00000051; 0,200; 0,09975324; 0,060651; 0,02813588; 0,200; 0,67207910; 0,195674; 0,28183149; 0,200; 0,92405103; 0,072233; 0,72232028; 0,200; 1,00336507; 0,008983; 0,96337301; 
0,250; 0,00565295; 0,014078; 0,00000059; 0,250; 0,11036734; 0,101063; 0,02069989; 0,250; 0,67695646; 0,171954; 0,27789682; 0,250; 0,94452791; 0,045804; 0,83200474; 0,250; 1,00505235; 0,005972; 0,97861886; 
0,300; 0,00564949; 0,014080; 0,00000016; 0,300; 0,11572262; 0,090388; 0,01701131; 0,300; 0,62786227; 0,160261; 0,26629715; 0,300; 0,93602386; 0,069501; 0,70422784; 0,300; 1,00232506; 0,009309; 0,97362929; 
0,350; 0,00635314; 0,014078; 0,00000017; 0,350; 0,12366562; 0,115313; 0,01309832; 0,350; 0,69154985; 0,174377; 0,26860311; 0,350; 0,95487809; 0,042020; 0,84686670; 0,350; 1,00510431; 0,006174; 0,98667348; 
0,400; 0,00513639; 0,012693; 0,00000282; 0,400; 0,14421054; 0,117535; 0,01857634; 0,400; 0,67543157; 0,180336; 0,27633478; 0,400; 0,94363715; 0,048594; 0,79456757; 0,400; 1,00210376; 0,010642; 0,96598350; 
0,450; 0,00320426; 0,010455; 0,00000408; 0,450; 0,11966193; 0,114037; 0,02208211; 0,450; 0,66811341; 0,183274; 0,27208374; 0,450; 0,91170775; 0,074299; 0,72606924; 0,450; 1,00329254; 0,010458; 0,96132883; 
0,500; 0,00571475; 0,013509; 0,00000096; 0,500; 0,09933030; 0,063581; 0,02858184; 0,500; 0,66442145; 0,155065; 0,37150272; 0,500; 0,95565352; 0,033529; 0,88873885; 0,500; 1,00417318; 0,008919; 0,97233898; 
0,550; 0,00354473; 0,011758; 0,00000257; 0,550; 0,08968549; 0,058283; 0,00003296; 0,550; 0,62872098; 0,151864; 0,16485875; 0,550; 0,93689472; 0,072288; 0,61771830; 0,550; 1,00443122; 0,007251; 0,97527112; 
0,600; 0,00529962; 0,013072; 0,00000028; 0,600; 0,11942369; 0,072998; 0,03103551; 0,600; 0,64818459; 0,180228; 0,31044597; 0,600; 0,94974434; 0,039496; 0,87734552; 0,600; 1,00218627; 0,009930; 0,96371850; 
0,650; 0,00795887; 0,015007; 0,00000003; 0,650; 0,10619629; 0,079153; 0,00861028; 0,650; 0,64766196; 0,175796; 0,24597117; 0,650; 0,90476226; 0,075621; 0,66078661; 0,650; 1,00015995; 0,016096; 0,92651183; 
0,700; 0,00986587; 0,017051; 0,00000085; 0,700; 0,11890579; 0,085892; 0,00439189; 0,700; 0,64347333; 0,178622; 0,27858206; 0,700; 0,94942055; 0,051329; 0,79946914; 0,700; 1,00121348; 0,011324; 0,96641296; 
0,750; 0,00250212; 0,010236; 0,00000072; 0,750; 0,11743666; 0,074694; 0,00484756; 0,750; 0,59490025; 0,132554; 0,30834582; 0,750; 0,92013007; 0,078430; 0,71366418; 0,750; 1,00559443; 0,005327; 0,98795077; 
0,800; 0,00425620; 0,011885; 0,00000454; 0,800; 0,10111293; 0,092900; 0,00006816; 0,800; 0,66445131; 0,156460; 0,32037162; 0,800; 0,93921806; 0,067730; 0,69527742; 0,800; 1,00292202; 0,007829; 0,98020260; 
0,850; 0,00811280; 0,016570; 0,00000040; 0,850; 0,10626323; 0,076607; 0,00008638; 0,850; 0,63406049; 0,190165; 0,17987185; 0,850; 0,94795269; 0,048687; 0,80145301; 0,850; 1,00552413; 0,005785; 0,98654419; 
0,900; 0,00320265; 0,010455; 0,00000429; 0,900; 0,08874098; 0,044212; 0,02249714; 0,900; 0,66598119; 0,178885; 0,24234811; 0,900; 0,94076430; 0,054652; 0,78478847; 0,900; 1,00322681; 0,008231; 0,97412791; 
0,950; 0,00460079; 0,013013; 0,00000004; 0,950; 0,10815172; 0,105160; 0,00387271; 0,950; 0,61250625; 0,191626; 0,31315004; 0,950; 0,91778038; 0,090893; 0,51595902; 0,950; 1,00288056; 0,008368; 0,98135269; 
1,000; 0,00439607; 0,012532; 0,00000101; 1,000; 0,10886155; 0,083356; 0,00189830; 1,000; 0,67827209; 0,149930; 0,39633153; 1,000; 0,94272389; 0,059121; 0,69453864; 1,000; 1,00092579; 0,017104; 0,91932379; 
