ratio; minimum_2; ratio; minimum_4; ratio; minimum_8; ratio; minimum_16; ratio; minimum_32; 
 0,000; 0,00000208; 0,000; 0,02694547; 0,000; 0,05627401; 0,000; 0,37245146; 0,000; 0,89524907;
 0,050; 0,00000643; 0,050; 0,03211995; 0,050; 0,01964928; 0,050; 0,19404358; 0,050; 0,87485396;
 0,100; 0,00000026; 0,100; 0,02622829; 0,100; 0,09063153; 0,100; 0,44625651; 0,100; 0,84029038;
 0,150; 0,00000502; 0,150; 0,04242589; 0,150; 0,10411430; 0,150; 0,41030614; 0,150; 0,78548150;
 0,200; 0,00004217; 0,200; 0,00007977; 0,200; 0,09935533; 0,200; 0,31194105; 0,200; 0,83649376;
 0,250; 0,00000009; 0,250; 0,03568306; 0,250; 0,05175881; 0,250; 0,44511603; 0,250; 0,60827484;
 0,300; 0,00000480; 0,300; 0,02812180; 0,300; 0,13924792; 0,300; 0,53489950; 0,300; 0,91101720;
 0,350; 0,00000529; 0,350; 0,02513307; 0,350; 0,04094878; 0,350; 0,43654061; 0,350; 0,89962116;
 0,400; 0,00000408; 0,400; 0,00299846; 0,400; 0,09398410; 0,400; 0,32920033; 0,400; 0,88388591;
 0,450; 0,00002093; 0,450; 0,00002326; 0,450; 0,04528356; 0,450; 0,50381812; 0,450; 0,89878725;
 0,500; 0,00000335; 0,500; 0,01993758; 0,500; 0,07386461; 0,500; 0,45240136; 0,500; 0,88574350;
 0,550; 0,00000463; 0,550; 0,01520153; 0,550; 0,05288363; 0,550; 0,47850922; 0,550; 0,78510646;
 0,600; 0,00001207; 0,600; 0,03540939; 0,600; 0,08393848; 0,600; 0,43167172; 0,600; 0,87893441;
 0,650; 0,00000090; 0,650; 0,00003544; 0,650; 0,07937299; 0,650; 0,48134126; 0,650; 0,78335775;
 0,700; 0,00000048; 0,700; 0,02202456; 0,700; 0,05376713; 0,700; 0,38933273; 0,700; 0,85688306;
 0,750; 0,00000924; 0,750; 0,02940319; 0,750; 0,07441267; 0,750; 0,37268609; 0,750; 0,85804130;
 0,800; 0,00000243; 0,800; 0,02554780; 0,800; 0,03303439; 0,800; 0,40466467; 0,800; 0,91332108;
 0,850; 0,00000063; 0,850; 0,02124054; 0,850; 0,07529247; 0,850; 0,43522495; 0,850; 0,86522216;
 0,900; 0,00000111; 0,900; 0,02206849; 0,900; 0,08200324; 0,900; 0,46466824; 0,900; 0,90525072;
 0,950; 0,00003295; 0,950; 0,02911756; 0,950; 0,06509557; 0,950; 0,38211265; 0,950; 0,87345023;
 1,000; 0,00000232; 1,000; 0,02144892; 1,000; 0,04274454; 1,000; 0,42958468; 1,000; 0,87320253;
