ratio; opt_2; err_2; ratio; generations_2; err_2; ratio; opt_4; err_4; ratio; generations_4; err_4; ratio; opt_8; err_8; ratio; generations_8; err_8; ratio; opt_16; err_16; ratio; generations_16; err_16; ratio; opt_32; err_32; ratio; generations_32; err_32; 
0,000; 0,061; 0,070; 0,000; 2760,580; 499,746; 0,000; 0,192; 0,158; 0,000; 3000,000; 0,000; 0,000; 0,407; 0,259; 0,000; 3000,000; 0,000; 0,000; 0,824; 0,167; 0,000; 3000,000; 0,000; 0,000; 0,973; 0,050; 0,000; 3000,000; 0,000; 
0,050; 0,093; 0,119; 0,050; 2565,460; 867,760; 0,050; 0,166; 0,126; 0,050; 3000,000; 0,000; 0,050; 0,430; 0,228; 0,050; 3000,000; 0,000; 0,050; 0,804; 0,164; 0,050; 3000,000; 0,000; 0,050; 0,975; 0,045; 0,050; 3000,000; 0,000; 
0,100; 0,076; 0,124; 0,100; 2467,280; 905,501; 0,100; 0,161; 0,098; 0,100; 3000,000; 0,000; 0,100; 0,421; 0,264; 0,100; 3000,000; 0,000; 0,100; 0,789; 0,168; 0,100; 3000,000; 0,000; 0,100; 0,980; 0,034; 0,100; 3000,000; 0,000; 
0,150; 0,058; 0,049; 0,150; 2704,060; 587,791; 0,150; 0,169; 0,103; 0,150; 3000,000; 0,000; 0,150; 0,395; 0,237; 0,150; 3000,000; 0,000; 0,150; 0,833; 0,142; 0,150; 3000,000; 0,000; 0,150; 0,984; 0,028; 0,150; 3000,000; 0,000; 
0,200; 0,091; 0,139; 0,200; 2662,040; 695,571; 0,200; 0,159; 0,112; 0,200; 3000,000; 0,000; 0,200; 0,355; 0,222; 0,200; 3000,000; 0,000; 0,200; 0,853; 0,124; 0,200; 3000,000; 0,000; 0,200; 0,981; 0,027; 0,200; 3000,000; 0,000; 
0,250; 0,083; 0,202; 0,250; 2738,060; 626,849; 0,250; 0,147; 0,121; 0,250; 3000,000; 0,000; 0,250; 0,388; 0,233; 0,250; 3000,000; 0,000; 0,250; 0,830; 0,149; 0,250; 3000,000; 0,000; 0,250; 0,983; 0,025; 0,250; 3000,000; 0,000; 
0,300; 0,060; 0,066; 0,300; 2496,720; 853,089; 0,300; 0,169; 0,121; 0,300; 3000,000; 0,000; 0,300; 0,416; 0,264; 0,300; 3000,000; 0,000; 0,300; 0,789; 0,176; 0,300; 3000,000; 0,000; 0,300; 0,982; 0,035; 0,300; 3000,000; 0,000; 
0,350; 0,191; 1,002; 0,350; 2672,200; 682,850; 0,350; 0,145; 0,082; 0,350; 3000,000; 0,000; 0,350; 0,422; 0,243; 0,350; 3000,000; 0,000; 0,350; 0,824; 0,155; 0,350; 3000,000; 0,000; 0,350; 0,982; 0,030; 0,350; 3000,000; 0,000; 
0,400; 0,054; 0,043; 0,400; 2728,840; 606,836; 0,400; 0,153; 0,088; 0,400; 3000,000; 0,000; 0,400; 0,387; 0,229; 0,400; 3000,000; 0,000; 0,400; 0,822; 0,153; 0,400; 3000,000; 0,000; 0,400; 0,980; 0,030; 0,400; 3000,000; 0,000; 
0,450; 0,048; 0,039; 0,450; 2643,340; 592,075; 0,450; 0,178; 0,093; 0,450; 3000,000; 0,000; 0,450; 0,368; 0,225; 0,450; 3000,000; 0,000; 0,450; 0,797; 0,150; 0,450; 3000,000; 0,000; 0,450; 0,983; 0,028; 0,450; 3000,000; 0,000; 
