ratio; average_2; err_2; optimum_2; ratio; average_4; err_4; optimum_4; ratio; average_8; err_8; optimum_8; ratio; average_16; err_16; optimum_16; ratio; average_32; err_32; optimum_32; 
0,000; 0,19214218; 0,154340; 0,00001407; 0,000; 0,53019234; 0,194455; 0,02879830; 0,000; 0,91485754; 0,099914; 0,59429551; 0,000; 1,01216654; 0,014664; 0,95010767; 0,000; 1,03092064; 0,007704; 1,01442934; 
0,050; 0,15617584; 0,165213; 0,00000945; 0,050; 0,52990410; 0,218808; 0,10478479; 0,050; 0,92974307; 0,074526; 0,69012460; 0,050; 1,00685919; 0,022416; 0,89126322; 0,050; 1,02556751; 0,006023; 1,01415355; 
0,100; 0,15620132; 0,135939; 0,00001175; 0,100; 0,51466665; 0,197655; 0,17756484; 0,100; 0,85689424; 0,142797; 0,29907344; 0,100; 0,99839949; 0,033964; 0,87922707; 0,100; 1,02248490; 0,004641; 1,01164382; 
0,150; 0,16263998; 0,180950; 0,00000062; 0,150; 0,48614050; 0,200865; 0,12100831; 0,150; 0,89304297; 0,102890; 0,63088024; 0,150; 1,00182126; 0,030196; 0,82511846; 0,150; 1,02044116; 0,003510; 1,01305249; 
0,200; 0,12631838; 0,159373; 0,00000147; 0,200; 0,51782857; 0,199474; 0,11959200; 0,200; 0,85566137; 0,129875; 0,35193416; 0,200; 1,00380356; 0,016007; 0,95877513; 0,200; 1,01906334; 0,003831; 1,01073408; 
0,250; 0,15800968; 0,143789; 0,00000326; 0,250; 0,53472065; 0,199821; 0,11598749; 0,250; 0,83718413; 0,129210; 0,31314819; 0,250; 0,99998594; 0,021951; 0,90957377; 0,250; 1,01813460; 0,003453; 1,01017470; 
0,300; 0,11394935; 0,119636; 0,00000008; 0,300; 0,53832727; 0,209137; 0,04704522; 0,300; 0,84118370; 0,128720; 0,52368449; 0,300; 0,99312370; 0,053966; 0,64150703; 0,300; 1,01825422; 0,003262; 1,01173223; 
0,350; 0,09177027; 0,109063; 0,00000460; 0,350; 0,47682903; 0,192747; 0,09745471; 0,350; 0,80771222; 0,164214; 0,34563595; 0,350; 1,00040779; 0,022474; 0,90090085; 0,350; 1,01701900; 0,004083; 1,00552170; 
0,400; 0,04189414; 0,064034; 0,00000025; 0,400; 0,54912746; 0,193502; 0,14016361; 0,400; 0,86382945; 0,125105; 0,54433803; 0,400; 0,99692685; 0,026646; 0,86149948; 0,400; 1,01678851; 0,003560; 1,00319293; 
0,450; 0,06034742; 0,078387; 0,00000586; 0,450; 0,53739152; 0,212220; 0,13112115; 0,450; 0,87163575; 0,108730; 0,39921903; 0,450; 0,99838690; 0,024338; 0,90181608; 0,450; 1,01655322; 0,003519; 1,01024198; 
0,500; 0,05911245; 0,110354; 0,00000467; 0,500; 0,48351608; 0,204124; 0,10510008; 0,500; 0,88046817; 0,089842; 0,59210565; 0,500; 0,99321199; 0,031561; 0,88190919; 0,500; 1,01564840; 0,003764; 1,00385241; 
0,550; 0,06496421; 0,105776; 0,00000435; 0,550; 0,53454343; 0,178024; 0,08723113; 0,550; 0,86765998; 0,121853; 0,36009263; 0,550; 0,99909191; 0,016668; 0,92575553; 0,550; 1,01633672; 0,003862; 1,00401811; 
0,600; 0,04160584; 0,072538; 0,00000012; 0,600; 0,47461693; 0,228331; 0,08487907; 0,600; 0,87354810; 0,121389; 0,46515746; 0,600; 0,99377223; 0,032915; 0,81553644; 0,600; 1,01476775; 0,002787; 1,00863842; 
0,650; 0,01323598; 0,039153; 0,00000223; 0,650; 0,50050213; 0,198325; 0,12319988; 0,650; 0,85005174; 0,132003; 0,33524900; 0,650; 0,98759581; 0,041598; 0,80540116; 0,650; 1,01550545; 0,002838; 1,00794868; 
0,700; 0,01870658; 0,050960; 0,00000345; 0,700; 0,49471521; 0,180496; 0,13470961; 0,700; 0,84642841; 0,140095; 0,30116417; 0,700; 0,99121454; 0,031378; 0,86899237; 0,700; 1,01448624; 0,002839; 1,00822763; 
0,750; 0,01660007; 0,048384; 0,00000254; 0,750; 0,49707235; 0,186320; 0,10898349; 0,750; 0,83771842; 0,112079; 0,58073877; 0,750; 1,00132931; 0,021147; 0,87986230; 0,750; 1,01467572; 0,002715; 1,01012905; 
0,800; 0,00665183; 0,032672; 0,00000179; 0,800; 0,44959285; 0,200602; 0,10349523; 0,800; 0,84603805; 0,152267; 0,39808450; 0,800; 0,99663213; 0,024618; 0,85002972; 0,800; 1,01499146; 0,003835; 0,99815890; 
0,850; 0,01394930; 0,039450; 0,00000417; 0,850; 0,46835494; 0,187848; 0,14005659; 0,850; 0,87663352; 0,111048; 0,53479412; 0,850; 0,98100385; 0,050581; 0,77248157; 0,850; 1,01441855; 0,003909; 1,00125766; 
0,900; 0,00332546; 0,015662; 0,00000102; 0,900; 0,47693010; 0,203348; 0,13177604; 0,900; 0,84648064; 0,099509; 0,60883230; 0,900; 0,97927748; 0,054712; 0,79070837; 0,900; 1,01436572; 0,003552; 1,00596733; 
0,950; 0,00821129; 0,033902; 0,00000171; 0,950; 0,45657430; 0,186489; 0,03668124; 0,950; 0,86735499; 0,107392; 0,56931656; 0,950; 0,98819316; 0,024198; 0,90919305; 0,950; 1,01389565; 0,003943; 0,99452958; 
1,000; 0,00119789; 0,008113; 0,00000806; 1,000; 0,43342137; 0,195974; 0,09760825; 1,000; 0,84791287; 0,123397; 0,53848731; 1,000; 0,99599707; 0,023671; 0,89445382; 1,000; 1,01378945; 0,002927; 1,00190036; 
