ratio; average_2; err_2; optimum_2; ratio; average_4; err_4; optimum_4; ratio; average_8; err_8; optimum_8; ratio; average_16; err_16; optimum_16; ratio; average_32; err_32; optimum_32; 
0,000; 0,16534302; 0,147510; 0,00004392; 0,000; 0,49751843; 0,191568; 0,15268012; 0,000; 0,90433789; 0,080483; 0,70116779; 0,000; 1,00197159; 0,019773; 0,89678136; 0,000; 1,01859082; 0,005808; 1,00400747; 
0,050; 0,08397219; 0,085509; 0,00000506; 0,050; 0,54977579; 0,202623; 0,21345795; 0,050; 0,88807375; 0,102230; 0,62683426; 0,050; 0,99282158; 0,029810; 0,87589804; 0,050; 1,01524690; 0,003508; 1,00712157; 
0,100; 0,12561507; 0,146737; 0,00000325; 0,100; 0,46368242; 0,208053; 0,07607917; 0,100; 0,86113476; 0,146932; 0,37311530; 0,100; 0,99300396; 0,026367; 0,91078130; 0,100; 1,01237312; 0,005033; 0,99109954; 
0,150; 0,04722387; 0,091053; 0,00000213; 0,150; 0,44405861; 0,195823; 0,08641368; 0,150; 0,81447202; 0,157212; 0,34372184; 0,150; 0,97916922; 0,036197; 0,87318140; 0,150; 1,00830913; 0,007632; 0,97624201; 
0,200; 0,02022278; 0,039623; 0,00000056; 0,200; 0,39465936; 0,218060; 0,06077350; 0,200; 0,81969095; 0,154202; 0,26324550; 0,200; 0,96182423; 0,061860; 0,72226177; 0,200; 1,00804752; 0,006568; 0,97764725; 
0,250; 0,00261799; 0,010787; 0,00000025; 0,250; 0,39544298; 0,213510; 0,03454760; 0,250; 0,83602765; 0,140152; 0,20290635; 0,250; 0,95529438; 0,078459; 0,61092702; 0,250; 1,00523107; 0,009952; 0,96065961; 
0,300; 0,01051367; 0,068651; 0,00000090; 0,300; 0,37594981; 0,177679; 0,05206298; 0,300; 0,77277749; 0,158784; 0,37772521; 0,300; 0,96370610; 0,050966; 0,75387237; 0,300; 1,00449750; 0,011578; 0,95522386; 
0,350; 0,00773821; 0,027390; 0,00000298; 0,350; 0,39760422; 0,200594; 0,08524468; 0,350; 0,71229579; 0,195521; 0,27092043; 0,350; 0,94592367; 0,058596; 0,73055541; 0,350; 0,99966340; 0,017649; 0,90602095; 
0,400; 0,01424151; 0,035200; 0,00000390; 0,400; 0,32198689; 0,205265; 0,07339181; 0,400; 0,76552981; 0,227528; 0,13752871; 0,400; 0,94144790; 0,085207; 0,59002791; 0,400; 0,99872368; 0,018619; 0,91203728; 
0,450; 0,02144722; 0,033889; 0,00000045; 0,450; 0,24602050; 0,192483; 0,02669714; 0,450; 0,78071432; 0,167726; 0,35744973; 0,450; 0,92438813; 0,081729; 0,68852347; 0,450; 0,99465602; 0,019465; 0,93146083; 
0,500; 0,02802553; 0,034167; 0,00000061; 0,500; 0,24262933; 0,208132; 0,03039925; 0,500; 0,69586076; 0,211224; 0,21543920; 0,500; 0,92006096; 0,111964; 0,48667464; 0,500; 0,99739155; 0,017432; 0,90573068; 
0,550; 0,03656877; 0,036644; 0,00000046; 0,550; 0,22331693; 0,174675; 0,01398085; 0,550; 0,70016577; 0,222279; 0,12815444; 0,550; 0,90389456; 0,113066; 0,49646647; 0,550; 0,99340927; 0,021735; 0,91035978; 
0,600; 0,02749651; 0,026515; 0,00000946; 0,600; 0,14427300; 0,135444; 0,01294567; 0,600; 0,63549752; 0,254808; 0,14280360; 0,600; 0,88066072; 0,114226; 0,44079107; 0,600; 0,99393601; 0,020468; 0,88921696; 
0,650; 0,03449285; 0,045534; 0,00000386; 0,650; 0,16921573; 0,199293; 0,01746362; 0,650; 0,56896748; 0,235642; 0,13005517; 0,650; 0,88788420; 0,120473; 0,44794483; 0,650; 0,98479285; 0,034340; 0,86123812; 
0,700; 0,04511474; 0,042574; 0,00000095; 0,700; 0,12059084; 0,113922; 0,00291308; 0,700; 0,53956806; 0,235928; 0,19140467; 0,700; 0,88019128; 0,138710; 0,40572837; 0,700; 0,99116129; 0,019538; 0,93762416; 
0,750; 0,06081764; 0,079921; 0,00000795; 0,750; 0,11000318; 0,127924; 0,01660536; 0,750; 0,54106314; 0,286324; 0,08122263; 0,750; 0,84042333; 0,150595; 0,47717728; 0,750; 0,98226250; 0,030574; 0,88320818; 
0,800; 0,05448326; 0,053046; 0,00000415; 0,800; 0,12728324; 0,155899; 0,00009598; 0,800; 0,47771907; 0,243256; 0,09498014; 0,800; 0,86482586; 0,133407; 0,44805061; 0,800; 0,98035755; 0,042898; 0,78196115; 
0,850; 0,08466340; 0,165504; 0,00002414; 0,850; 0,12372190; 0,079125; 0,00009698; 0,850; 0,48864991; 0,252286; 0,13181716; 0,850; 0,84940834; 0,137019; 0,52363160; 0,850; 0,98352922; 0,026780; 0,89669117; 
0,900; 0,04655118; 0,056178; 0,00000189; 0,900; 0,17662188; 0,124927; 0,02738121; 0,900; 0,38136832; 0,246256; 0,08268522; 0,900; 0,81534107; 0,147023; 0,46533571; 0,900; 0,97868375; 0,032389; 0,84809971; 
0,950; 0,07598333; 0,081647; 0,00000490; 0,950; 0,23159987; 0,166294; 0,03020484; 0,950; 0,40512505; 0,261650; 0,06256738; 0,950; 0,78823553; 0,170419; 0,22470558; 0,950; 0,97063644; 0,051606; 0,76139253; 
1,000; 0,09138404; 0,143375; 0,00000452; 1,000; 0,26750320; 0,161194; 0,07619549; 1,000; 0,35305181; 0,273541; 0,05949391; 1,000; 0,78347542; 0,169503; 0,44037789; 1,000; 0,98294058; 0,025774; 0,89334351; 
