ratio; average_2; err_2; optimum_2; ratio; average_4; err_4; optimum_4; ratio; average_8; err_8; optimum_8; ratio; average_16; err_16; optimum_16; ratio; average_32; err_32; optimum_32; 
0,000; 0,18900482; 0,157473; 0,00000412; 0,000; 0,49025815; 0,178227; 0,11739811; 0,000; 0,87522223; 0,127276; 0,42195605; 0,000; 1,00469347; 0,016103; 0,93875677; 0,000; 1,02268196; 0,004006; 1,01381485; 
0,050; 0,15871154; 0,124104; 0,00000759; 0,050; 0,48484979; 0,196591; 0,05561264; 0,050; 0,87066473; 0,112771; 0,54100400; 0,050; 1,00006418; 0,021918; 0,93299739; 0,050; 1,01937889; 0,004001; 1,00892286; 
0,100; 0,12113390; 0,115611; 0,00001044; 0,100; 0,49728728; 0,192326; 0,20420564; 0,100; 0,84908196; 0,105131; 0,51206433; 0,100; 0,99833288; 0,016606; 0,94774761; 0,100; 1,01662159; 0,002988; 1,00964136; 
0,150; 0,09631240; 0,122103; 0,00000897; 0,150; 0,47084909; 0,159892; 0,12469601; 0,150; 0,81992186; 0,133635; 0,49558314; 0,150; 0,99670541; 0,019863; 0,93177467; 0,150; 1,01620034; 0,003068; 1,00935196; 
0,200; 0,10074356; 0,128058; 0,00000690; 0,200; 0,42895262; 0,217793; 0,06075854; 0,200; 0,81728744; 0,130345; 0,50572046; 0,200; 0,98972609; 0,028173; 0,89327766; 0,200; 1,01495060; 0,003030; 1,00488196; 
0,250; 0,09838148; 0,131197; 0,00000014; 0,250; 0,45186840; 0,180954; 0,07227500; 0,250; 0,84534502; 0,094402; 0,59007122; 0,250; 0,99188979; 0,025757; 0,86855058; 0,250; 1,01442878; 0,002961; 1,00594661; 
0,300; 0,07161333; 0,107324; 0,00000400; 0,300; 0,47502124; 0,199962; 0,04718282; 0,300; 0,83272491; 0,122572; 0,48789813; 0,300; 0,99190784; 0,025261; 0,89179448; 0,300; 1,01319615; 0,003076; 0,99932817; 
0,350; 0,05600185; 0,099954; 0,00000185; 0,350; 0,44479915; 0,203194; 0,08803942; 0,350; 0,83638279; 0,139019; 0,42674783; 0,350; 0,95886575; 0,071461; 0,64303385; 0,350; 1,01241135; 0,005305; 0,99141104; 
0,400; 0,02991282; 0,048747; 0,00000328; 0,400; 0,46473311; 0,177991; 0,10617595; 0,400; 0,86818828; 0,110110; 0,58188517; 0,400; 0,98001882; 0,040349; 0,84367926; 0,400; 1,01169252; 0,004068; 0,99878524; 
0,450; 0,03732060; 0,076947; 0,00000257; 0,450; 0,43917274; 0,196768; 0,04366715; 0,450; 0,83949949; 0,116488; 0,58296688; 0,450; 0,98861599; 0,034879; 0,81701459; 0,450; 1,01199923; 0,005194; 0,99237282; 
0,500; 0,01959440; 0,056387; 0,00000126; 0,500; 0,48271345; 0,194256; 0,12913132; 0,500; 0,84037693; 0,107350; 0,51222429; 0,500; 0,98445803; 0,029949; 0,87022731; 0,500; 1,01265260; 0,003761; 0,99734684; 
0,550; 0,01161664; 0,033732; 0,00000262; 0,550; 0,40459335; 0,177393; 0,13184596; 0,550; 0,84102310; 0,121254; 0,45991742; 0,550; 0,98666002; 0,034253; 0,83906814; 0,550; 1,01283857; 0,003551; 1,00606103; 
0,600; 0,01105895; 0,038104; 0,00000327; 0,600; 0,40784447; 0,198448; 0,07914309; 0,600; 0,82193374; 0,132740; 0,41429948; 0,600; 0,98829851; 0,026254; 0,89452309; 0,600; 1,01251985; 0,002690; 1,00461508; 
0,650; 0,00535397; 0,024578; 0,00000166; 0,650; 0,43684920; 0,183027; 0,09461303; 0,650; 0,81085288; 0,109988; 0,47801984; 0,650; 0,96986162; 0,063486; 0,65447835; 0,650; 1,01215627; 0,002662; 1,00367430; 
0,700; 0,00669153; 0,020916; 0,00000057; 0,700; 0,39242122; 0,188789; 0,06730147; 0,700; 0,80381562; 0,150648; 0,31844858; 0,700; 0,97277417; 0,043357; 0,81255152; 0,700; 1,01197077; 0,004965; 0,99297829; 
0,750; 0,00600629; 0,025469; 0,00000000; 0,750; 0,43750415; 0,207125; 0,11104691; 0,750; 0,83592440; 0,119137; 0,48448223; 0,750; 0,97927303; 0,053025; 0,76901564; 0,750; 1,01158021; 0,004493; 0,98973534; 
0,800; 0,00782132; 0,031700; 0,00000312; 0,800; 0,43702336; 0,185720; 0,08893552; 0,800; 0,83976840; 0,133957; 0,40233387; 0,800; 0,98895954; 0,032685; 0,84657825; 0,800; 1,01205451; 0,002949; 1,00353746; 
0,850; 0,00996027; 0,031783; 0,00000230; 0,850; 0,38096359; 0,200193; 0,01430189; 0,850; 0,83395823; 0,136352; 0,45320756; 0,850; 0,98139167; 0,031849; 0,87634320; 0,850; 1,00983966; 0,009427; 0,95204936; 
0,900; 0,01352017; 0,033617; 0,00000311; 0,900; 0,40759511; 0,207180; 0,04719512; 0,900; 0,83789933; 0,115531; 0,45641619; 0,900; 0,98684125; 0,031096; 0,82042852; 0,900; 1,01097826; 0,004170; 0,99319089; 
0,950; 0,02689970; 0,054463; 0,00000972; 0,950; 0,39766624; 0,183800; 0,09314589; 0,950; 0,82766608; 0,151345; 0,42598757; 0,950; 0,97233443; 0,066797; 0,65826892; 0,950; 1,00842450; 0,010200; 0,96549069; 
1,000; 0,02269716; 0,042478; 0,00000004; 1,000; 0,38854288; 0,190310; 0,02905371; 1,000; 0,80477932; 0,158855; 0,40693161; 1,000; 0,97757333; 0,037549; 0,83820039; 1,000; 1,01060007; 0,004486; 0,99524166; 
