ratio; average_2; err_2; optimum_2; ratio; average_4; err_4; optimum_4; ratio; average_8; err_8; optimum_8; ratio; average_16; err_16; optimum_16; ratio; average_32; err_32; optimum_32; 
0,000; 0,04024337; 0,069878; 0,00000587; 0,000; 0,34751243; 0,156363; 0,12807954; 0,000; 0,79411484; 0,119917; 0,53902698; 0,000; 0,99097747; 0,021729; 0,94652403; 0,000; 1,01654330; 0,002447; 1,01104478; 
0,050; 0,05744662; 0,087746; 0,00001010; 0,050; 0,35253479; 0,147324; 0,11576795; 0,050; 0,78343707; 0,161657; 0,38827016; 0,050; 0,99917244; 0,016450; 0,95251953; 0,050; 1,01154123; 0,004990; 0,99820633; 
0,100; 0,01050853; 0,025519; 0,00000999; 0,100; 0,28878349; 0,154549; 0,08849707; 0,100; 0,73534624; 0,125095; 0,46859243; 0,100; 0,98885074; 0,024192; 0,92102597; 0,100; 1,01277567; 0,003678; 1,00301453; 
0,150; 0,00538951; 0,022962; 0,00000818; 0,150; 0,38098229; 0,124966; 0,13122754; 0,150; 0,78252985; 0,107973; 0,56334583; 0,150; 0,97256996; 0,044861; 0,82461705; 0,150; 1,01164244; 0,003547; 0,99967039; 
0,200; 0,00206178; 0,010012; 0,00000078; 0,200; 0,36032689; 0,131057; 0,13593522; 0,200; 0,76496990; 0,117157; 0,53199429; 0,200; 0,97390112; 0,031183; 0,89443259; 0,200; 1,01178473; 0,003148; 1,00228665; 
0,250; 0,00004978; 0,000025; 0,00000209; 0,250; 0,33496192; 0,126422; 0,14558923; 0,250; 0,78675125; 0,114241; 0,54380789; 0,250; 0,98558728; 0,027457; 0,91814725; 0,250; 1,01049607; 0,003450; 1,00119195; 
0,300; 0,00005082; 0,000031; 0,00000481; 0,300; 0,34765676; 0,138426; 0,18306632; 0,300; 0,73530207; 0,159163; 0,23352462; 0,300; 0,97219257; 0,039293; 0,84325958; 0,300; 1,01039955; 0,004921; 0,99171053; 
0,350; 0,00004644; 0,000028; 0,00000180; 0,350; 0,39458869; 0,139584; 0,18123593; 0,350; 0,81099682; 0,113356; 0,55600786; 0,350; 0,98407497; 0,024576; 0,89759273; 0,350; 1,00927430; 0,006863; 0,97931331; 
0,400; 0,00005430; 0,000030; 0,00000451; 0,400; 0,28357143; 0,134179; 0,05309842; 0,400; 0,80333959; 0,143637; 0,41627214; 0,400; 0,97748540; 0,028907; 0,91073021; 0,400; 1,01017030; 0,002946; 1,00285276; 
0,450; 0,00004253; 0,000036; 0,00000014; 0,450; 0,28022904; 0,132659; 0,12476556; 0,450; 0,82959587; 0,089242; 0,62976409; 0,450; 0,96496286; 0,044803; 0,78437024; 0,450; 1,00782863; 0,008320; 0,98139535; 
0,500; 0,00004095; 0,000030; 0,00000014; 0,500; 0,33567695; 0,160206; 0,09562694; 0,500; 0,74781212; 0,157875; 0,33790104; 0,500; 0,96289861; 0,047906; 0,82380965; 0,500; 1,00991610; 0,003988; 0,99788124; 
0,550; 0,00004474; 0,000030; 0,00000279; 0,550; 0,33477090; 0,158092; 0,12336803; 0,550; 0,75508150; 0,124472; 0,49548841; 0,550; 0,96168919; 0,040691; 0,86784295; 0,550; 1,00886256; 0,004527; 1,00016115; 
0,600; 0,00004309; 0,000033; 0,00000303; 0,600; 0,38585987; 0,161712; 0,10504243; 0,600; 0,78640345; 0,141744; 0,40368718; 0,600; 0,94280984; 0,074450; 0,69887650; 0,600; 1,01014329; 0,002817; 1,00377710; 
0,650; 0,00004603; 0,000030; 0,00000018; 0,650; 0,29623683; 0,160532; 0,06152495; 0,650; 0,77371810; 0,149385; 0,48062490; 0,650; 0,95968125; 0,060419; 0,78327986; 0,650; 1,00857344; 0,006005; 0,99002276; 
0,700; 0,00004194; 0,000028; 0,00000046; 0,700; 0,29884409; 0,126903; 0,10149382; 0,700; 0,77217484; 0,165433; 0,33178226; 0,700; 0,96421292; 0,054738; 0,73666222; 0,700; 1,00852163; 0,004634; 0,99547338; 
0,750; 0,00152249; 0,007403; 0,00000416; 0,750; 0,32890346; 0,167551; 0,10132197; 0,750; 0,73746771; 0,166971; 0,34354388; 0,750; 0,96219491; 0,043231; 0,83964976; 0,750; 1,00897461; 0,004625; 0,99602496; 
0,800; 0,00004233; 0,000030; 0,00000102; 0,800; 0,30327922; 0,184037; 0,04470380; 0,800; 0,77013489; 0,119841; 0,50594512; 0,800; 0,96588574; 0,039229; 0,86803667; 0,800; 1,00083049; 0,025313; 0,89666647; 
0,850; 0,00154817; 0,007357; 0,00000286; 0,850; 0,29074669; 0,167326; 0,07003111; 0,850; 0,76624587; 0,162699; 0,38079900; 0,850; 0,94454912; 0,056576; 0,80864357; 0,850; 1,00920215; 0,002647; 1,00037304; 
0,900; 0,00446401; 0,012222; 0,00000239; 0,900; 0,27523122; 0,194738; 0,02855295; 0,900; 0,73965390; 0,191905; 0,36354506; 0,900; 0,94082756; 0,057463; 0,77279683; 0,900; 1,00476439; 0,014107; 0,94653325; 
0,950; 0,00151693; 0,007366; 0,00000397; 0,950; 0,29522495; 0,170817; 0,02724260; 0,950; 0,75248349; 0,146681; 0,38551806; 0,950; 0,95552720; 0,070273; 0,75863792; 0,950; 1,00817236; 0,006468; 0,98317098; 
1,000; 0,00152589; 0,007361; 0,00000085; 1,000; 0,26388644; 0,180058; 0,06016789; 1,000; 0,68846162; 0,163233; 0,21938374; 1,000; 0,95977213; 0,036000; 0,86145982; 1,000; 1,00826545; 0,006277; 0,97932725; 
