ratio; average_2; err_2; optimum_2; ratio; average_4; err_4; optimum_4; ratio; average_8; err_8; optimum_8; ratio; average_16; err_16; optimum_16; ratio; average_32; err_32; optimum_32; 
0,000; 0,02222121; 0,058047; 0,00000002; 0,000; 0,34146571; 0,173095; 0,09547485; 0,000; 0,74843634; 0,150543; 0,39347918; 0,000; 0,94482957; 0,045880; 0,80651002; 0,000; 1,00670521; 0,006762; 0,98700873; 
0,050; 0,00004839; 0,000030; 0,00000016; 0,050; 0,27939710; 0,137319; 0,03113874; 0,050; 0,68769759; 0,157394; 0,34279988; 0,050; 0,91673172; 0,069085; 0,69169342; 0,050; 0,98930752; 0,023265; 0,91678748; 
0,100; 0,00005979; 0,000024; 0,00001646; 0,100; 0,27407474; 0,138286; 0,05060893; 0,100; 0,71962513; 0,165078; 0,34780699; 0,100; 0,92511978; 0,077785; 0,70273579; 0,100; 0,97490138; 0,029527; 0,86956612; 
0,150; 0,00324114; 0,011026; 0,00000128; 0,150; 0,16032871; 0,092052; 0,01238851; 0,150; 0,55327853; 0,197509; 0,17597220; 0,150; 0,86224801; 0,114966; 0,60279999; 0,150; 0,95825647; 0,037785; 0,87931914; 
0,200; 0,00638427; 0,013930; 0,00000671; 0,200; 0,10236654; 0,090964; 0,00005976; 0,200; 0,58934615; 0,217952; 0,20361517; 0,200; 0,79817373; 0,128944; 0,53482163; 0,200; 0,95482497; 0,044937; 0,85085714; 
0,250; 0,01383662; 0,018905; 0,00001460; 0,250; 0,09627511; 0,085150; 0,01357530; 0,250; 0,43835486; 0,217591; 0,11098745; 0,250; 0,78945442; 0,126725; 0,52964319; 0,250; 0,94266072; 0,059429; 0,78266142; 
0,300; 0,01995784; 0,019697; 0,00001044; 0,300; 0,10356642; 0,052673; 0,03413830; 0,300; 0,27509255; 0,157369; 0,09168660; 0,300; 0,69994792; 0,167567; 0,45131797; 0,300; 0,92422047; 0,055965; 0,80142044; 
0,350; 0,01477259; 0,018411; 0,00000808; 0,350; 0,22567386; 0,088467; 0,06206299; 0,350; 0,24558290; 0,135862; 0,09280379; 0,350; 0,67323236; 0,172188; 0,35052070; 0,350; 0,90927673; 0,067772; 0,77598314; 
0,400; 0,01181955; 0,017532; 0,00000003; 0,400; 0,33399314; 0,174945; 0,02123611; 0,400; 0,23195218; 0,159216; 0,05886964; 0,400; 0,63326137; 0,177685; 0,28090888; 0,400; 0,92145123; 0,079325; 0,66399078; 
0,450; 0,01476889; 0,018407; 0,00000323; 0,450; 0,42965525; 0,207775; 0,06166464; 0,450; 0,20675052; 0,088896; 0,08281403; 0,450; 0,53684472; 0,126835; 0,36534603; 0,450; 0,87302325; 0,065484; 0,73279668; 
0,500; 0,01476608; 0,018410; 0,00000055; 0,500; 0,45844110; 0,193330; 0,15995951; 0,500; 0,23674004; 0,085146; 0,06658727; 0,500; 0,47176295; 0,164131; 0,14548286; 0,500; 0,88132465; 0,065806; 0,76275939; 
0,550; 0,01330363; 0,018030; 0,00000118; 0,550; 0,41764689; 0,265659; 0,11066344; 0,550; 0,26318084; 0,131371; 0,06295644; 0,550; 0,49533012; 0,141428; 0,26876271; 0,550; 0,87024621; 0,088244; 0,62238616; 
0,600; 0,01518657; 0,018174; 0,00000182; 0,600; 0,52244870; 0,203877; 0,05543498; 0,600; 0,54029010; 0,231194; 0,04068181; 0,600; 0,46569487; 0,157148; 0,28392597; 0,600; 0,87575034; 0,095277; 0,64456875; 
0,650; 0,01329131; 0,018039; 0,00000031; 0,650; 0,58800190; 0,287710; 0,20931477; 0,650; 0,77070241; 0,446305; 0,14074753; 0,650; 0,37102338; 0,120202; 0,18930050; 0,650; 0,85335924; 0,085999; 0,67355580; 
0,700; 0,00887017; 0,016052; 0,00000028; 0,700; 0,54677749; 0,224827; 0,20288994; 0,700; 1,10139549; 0,636776; 0,25721123; 0,700; 0,40685999; 0,123531; 0,21193348; 0,700; 0,80391976; 0,093123; 0,63356424; 
0,750; 0,01330391; 0,018030; 0,00000089; 0,750; 0,65656677; 0,282830; 0,15997033; 0,750; 1,19759617; 0,600012; 0,23854860; 0,750; 0,31870473; 0,087902; 0,15794576; 0,750; 0,75131623; 0,112756; 0,44477659; 
0,800; 0,01918200; 0,018778; 0,00000035; 0,800; 0,62607367; 0,202114; 0,30131772; 0,800; 1,54122815; 0,828359; 0,12879097; 0,800; 0,27820965; 0,082482; 0,09702838; 0,800; 0,76504637; 0,095135; 0,51874566; 
0,850; 0,01182605; 0,017526; 0,00000312; 0,850; 0,63716136; 0,269863; 0,20297162; 0,850; 1,78911506; 0,870145; 0,35780276; 0,850; 0,26330133; 0,083558; 0,14549995; 0,850; 0,76185120; 0,105562; 0,52599982; 
0,900; 0,01185322; 0,017507; 0,00000713; 0,900; 0,60489239; 0,286338; 0,14782433; 0,900; 2,18518983; 0,805965; 1,05619634; 0,900; 0,28629416; 0,112841; 0,11846254; 0,900; 0,72073371; 0,092575; 0,53823751; 
0,950; 0,01759642; 0,018646; 0,00000528; 0,950; 0,72070089; 0,215709; 0,32563392; 0,950; 1,91281316; 0,711769; 0,46610122; 0,950; 0,26003916; 0,113933; 0,09098091; 0,950; 0,72425856; 0,097674; 0,51367358; 
1,000; 0,01034009; 0,016878; 0,00000050; 1,000; 0,66238876; 0,317658; 0,07391865; 1,000; 2,31014215; 0,971690; 0,40484866; 1,000; 0,28085401; 0,146034; 0,11752747; 1,000; 0,66962149; 0,106954; 0,47473424; 
