ratio; average_2; err_2; optimum_2; ratio; average_4; err_4; optimum_4; ratio; average_8; err_8; optimum_8; ratio; average_16; err_16; optimum_16; ratio; average_32; err_32; optimum_32; 
0,000; 0,03967037; 0,045168; 0,00000695; 0,000; 0,36079036; 0,154969; 0,12169351; 0,000; 0,73728378; 0,151317; 0,27866503; 0,000; 0,96746415; 0,035689; 0,88968129; 0,000; 1,01097379; 0,005841; 0,98803138; 
0,050; 0,00067666; 0,003077; 0,00000159; 0,050; 0,26233476; 0,131516; 0,05679964; 0,050; 0,69841189; 0,175091; 0,30026502; 0,050; 0,96917470; 0,028717; 0,91950010; 0,050; 1,01045601; 0,002231; 1,00499744; 
0,100; 0,00333511; 0,013561; 0,00000407; 0,100; 0,27240094; 0,127362; 0,04448335; 0,100; 0,75117803; 0,136109; 0,31017121; 0,100; 0,95976790; 0,053283; 0,77371331; 0,100; 1,00926317; 0,004341; 0,99270406; 
0,150; 0,00006605; 0,000027; 0,00001868; 0,150; 0,28885553; 0,132959; 0,05808200; 0,150; 0,77115960; 0,125601; 0,36709774; 0,150; 0,97252227; 0,036137; 0,86735973; 0,150; 1,00918429; 0,004345; 0,99293163; 
0,200; 0,00004107; 0,000028; 0,00000294; 0,200; 0,33741234; 0,169553; 0,07700900; 0,200; 0,72415905; 0,133730; 0,45300549; 0,200; 0,95022919; 0,044472; 0,84664887; 0,200; 1,00469714; 0,009825; 0,96512915; 
0,250; 0,00004221; 0,000031; 0,00000071; 0,250; 0,32212544; 0,099003; 0,15259080; 0,250; 0,75572472; 0,110184; 0,45597469; 0,250; 0,95646000; 0,044544; 0,85110408; 0,250; 1,00650094; 0,005570; 0,99258354; 
0,300; 0,00003897; 0,000030; 0,00000044; 0,300; 0,27006457; 0,144603; 0,06530448; 0,300; 0,75346330; 0,125220; 0,32358806; 0,300; 0,94060414; 0,064697; 0,78197037; 0,300; 1,00475805; 0,009314; 0,96824633; 
0,350; 0,00006248; 0,000029; 0,00001183; 0,350; 0,31987311; 0,152650; 0,06937115; 0,350; 0,69670638; 0,140574; 0,21084646; 0,350; 0,94920253; 0,050486; 0,82282991; 0,350; 1,00543235; 0,007398; 0,98019270; 
0,400; 0,00004756; 0,000034; 0,00000248; 0,400; 0,31392864; 0,169587; 0,07922055; 0,400; 0,69530697; 0,128841; 0,49034125; 0,400; 0,97277995; 0,030753; 0,86548141; 0,400; 1,00634680; 0,005594; 0,98745507; 
0,450; 0,00302595; 0,010283; 0,00000346; 0,450; 0,24430545; 0,124703; 0,07861680; 0,450; 0,70773990; 0,164859; 0,14369153; 0,450; 0,92747176; 0,078220; 0,68233359; 0,450; 1,00479944; 0,007952; 0,98103656; 
0,500; 0,00447955; 0,012276; 0,00000156; 0,500; 0,16122773; 0,097863; 0,02568943; 0,500; 0,72720208; 0,137726; 0,29408726; 0,500; 0,93052042; 0,061334; 0,77821153; 0,500; 1,00595231; 0,005814; 0,99079842; 
0,550; 0,00085714; 0,004085; 0,00000011; 0,550; 0,22802041; 0,156694; 0,04394865; 0,550; 0,72646857; 0,152090; 0,43097608; 0,550; 0,91978335; 0,098265; 0,61439994; 0,550; 1,00200885; 0,011993; 0,96506149; 
0,600; 0,00302002; 0,010316; 0,00000198; 0,600; 0,23363578; 0,150275; 0,05752770; 0,600; 0,67793072; 0,140031; 0,47507171; 0,600; 0,94630293; 0,050566; 0,80994092; 0,600; 1,00391862; 0,007785; 0,98054723; 
0,650; 0,00593707; 0,013774; 0,00000087; 0,650; 0,20991147; 0,137441; 0,07084313; 0,650; 0,66591744; 0,182123; 0,30035566; 0,650; 0,95580117; 0,050158; 0,75908553; 0,650; 1,00440613; 0,014316; 0,95463315; 
0,700; 0,00447534; 0,012205; 0,00000223; 0,700; 0,15973272; 0,120936; 0,03283634; 0,700; 0,65631725; 0,162633; 0,26493054; 0,700; 0,94043787; 0,045057; 0,84202173; 0,700; 1,00539786; 0,006170; 0,98337049; 
0,750; 0,00740347; 0,015031; 0,00000826; 0,750; 0,19634130; 0,147222; 0,05563430; 0,750; 0,69782385; 0,137136; 0,37203016; 0,750; 0,93784029; 0,067869; 0,73633112; 0,750; 1,00410434; 0,009952; 0,97137552; 
0,800; 0,00595995; 0,013764; 0,00000158; 0,800; 0,13635502; 0,130498; 0,01139869; 0,800; 0,68998022; 0,146215; 0,39131009; 0,800; 0,94357234; 0,054194; 0,75393961; 0,800; 1,00397247; 0,007694; 0,98365175; 
0,850; 0,00446667; 0,012208; 0,00000097; 0,850; 0,13205395; 0,094385; 0,03105832; 0,850; 0,67438201; 0,181412; 0,17843697; 0,850; 0,94919008; 0,040727; 0,83839835; 0,850; 1,00316154; 0,007358; 0,98012010; 
0,900; 0,00151679; 0,007363; 0,00000043; 0,900; 0,13442598; 0,083780; 0,02867894; 0,900; 0,70447437; 0,135095; 0,33909440; 0,900; 0,92213282; 0,066314; 0,76245134; 0,900; 1,00640358; 0,005691; 0,99169188; 
0,950; 0,00741864; 0,015023; 0,00000016; 0,950; 0,10285395; 0,079033; 0,02250645; 0,950; 0,66045800; 0,163642; 0,28822843; 0,950; 0,95398947; 0,033975; 0,87392024; 0,950; 1,00226659; 0,006928; 0,98483165; 
1,000; 0,01184768; 0,021437; 0,00000042; 1,000; 0,10213629; 0,092013; 0,02467995; 1,000; 0,64159429; 0,171406; 0,37612794; 1,000; 0,90084428; 0,071376; 0,74548740; 1,000; 1,00544880; 0,005673; 0,98992616; 
